Nodes:
1: (0,0)
2: (1,2)
3: (2,4)
4: (3,1)
5: (4,3)
6: (5,5)
7: (6,2)
8: (7,3)
9: (8,1)
10: (7,5)
11: (8,4)
12: (9,2)


Edges:
(1,2): 2
(2,3): 2
(2,4): 4
(3,5): 3
(5,6): 2
(4,6): 5
(4,7): 1
(7,8): 3
(5,7): 4
(1,3): 5
(1,4): 6
(2,5): 3
(3,6): 4
(3,7): 6
(4,8): 7
(5,7): 2
(6,8): 3
(1,5): 7
(2,6): 5
(3,8): 8
(4,7): 2
(5,8): 4
(6,7): 1
(7,8): 2
(1,6): 9
(2,7): 6
(3,4): 3
(4,5): 2
(5,6): 3
(6,7): 4
(7,1): 8
(8,2): 7
(1,8): 10
(2,4): 5
(3,5): 6
(4,6): 7
(5,7): 8
(6,1): 9
(7,2): 10
(8,3): 11
(8,9): 3
(9,10): 4
(10,11): 2
(11,12): 3
(9,12): 5
(8,11): 6
(7,10): 4
(6,9): 5
(5,10): 7
(4,11): 8
(3,12): 6
(2,9): 7
(1,10): 9
(9,1): 8
(10,2): 6
(11,3): 5
(12,4): 7
(9,5): 4
(10,6): 3
(11,7): 5
(12,8): 4

Origin:
1

Destinations:
8; 5; 12
